ID;Namespace;TypeName;MemberName;SupportedPlatforms
T:System.Object;System;Object;;46863
M:System.Object.MemberwiseClone;System;Object;MemberwiseClone;46863
M:System.Object.#ctor;System;Object;.ctor;46863
M:System.Object.ToString;System;Object;ToString;46863
M:System.Object.GetHashCode;System;Object;GetHashCode;46863
M:System.Object.GetType;System;Object;GetType;46863
M:System.Object.ReferenceEquals(System.Object,System.Object);System;Object;ReferenceEquals;46863
M:System.Object.Finalize;System;Object;Finalize;46863
M:System.Object.Equals(System.Object);System;Object;Equals;46863
M:System.Object.Equals(System.Object,System.Object);System;Object;Equals;46863
T:System.ValueType;System;ValueType;;46863
M:System.ValueType.#ctor;System;ValueType;.ctor;46863
M:System.ValueType.ToString;System;ValueType;ToString;46863
M:System.ValueType.GetHashCode;System;ValueType;GetHashCode;46863
M:System.ValueType.Equals(System.Object);System;ValueType;Equals;46863
T:System.IComparable;System;IComparable;;46863
M:System.IComparable.CompareTo(System.Object);System;IComparable;CompareTo;46863
T:System.IComparable`1;System;IComparable;;46863
M:System.IComparable`1.CompareTo(`0);System;IComparable<T>;CompareTo;46863
T:System.IEquatable`1;System;IEquatable;;46863
M:System.IEquatable`1.Equals(`0);System;IEquatable<T>;Equals;46863
T:System.IFormattable;System;IFormattable;;46863
M:System.IFormattable.ToString(System.String,System.IFormatProvider);System;IFormattable;ToString;46863
T:System.Decimal;System;Decimal;;46863
M:System.Decimal.op_Implicit(System.Int64)~System.Decimal;System;Decimal;op_Implicit;46863
M:System.Decimal.ToString(System.String);System;Decimal;ToString;46863
M:System.Decimal.#ctor(System.UInt32);System;Decimal;.ctor;46863
F:System.Decimal.MinusOne;System;Decimal;MinusOne;46863
M:System.Decimal.ToDouble(System.Decimal);System;Decimal;ToDouble;46863
M:System.Decimal.ToSingle(System.Decimal);System;Decimal;ToSingle;46863
M:System.Decimal.op_Subtraction(System.Decimal,System.Decimal);System;Decimal;op_Subtraction;46863
M:System.Decimal.Multiply(System.Decimal,System.Decimal);System;Decimal;Multiply;46863
M:System.Decimal.op_Explicit(System.Decimal)~System.Single;System;Decimal;op_Explicit;46863
M:System.Decimal.ToUInt64(System.Decimal);System;Decimal;ToUInt64;46863
M:System.Decimal.Remainder(System.Decimal,System.Decimal);System;Decimal;Remainder;46863
M:System.Decimal.op_Explicit(System.Decimal)~System.Int64;System;Decimal;op_Explicit;46863
M:System.Decimal.TryParse(System.String,System.Decimal@);System;Decimal;TryParse;46863
M:System.Decimal.#ctor(System.Int32,System.Int32,System.Int32,System.Boolean,System.Byte);System;Decimal;.ctor;46863
M:System.Decimal.Equals(System.Decimal,System.Decimal);System;Decimal;Equals;46863
M:System.Decimal.ToUInt32(System.Decimal);System;Decimal;ToUInt32;46863
M:System.Decimal.op_Implicit(System.UInt64)~System.Decimal;System;Decimal;op_Implicit;46863
M:System.Decimal.op_Addition(System.Decimal,System.Decimal);System;Decimal;op_Addition;46863
M:System.Decimal.Ceiling(System.Decimal);System;Decimal;Ceiling;46863
M:System.Decimal.op_Explicit(System.Decimal)~System.UInt16;System;Decimal;op_Explicit;46863
M:System.Decimal.op_Implicit(System.UInt16)~System.Decimal;System;Decimal;op_Implicit;46863
M:System.Decimal.op_Modulus(System.Decimal,System.Decimal);System;Decimal;op_Modulus;46863
M:System.Decimal.Truncate(System.Decimal);System;Decimal;Truncate;46863
M:System.Decimal.Round(System.Decimal,System.Int32);System;Decimal;Round;46863
M:System.Decimal.#ctor(System.Int32);System;Decimal;.ctor;46863
F:System.Decimal.Zero;System;Decimal;Zero;46863
M:System.Decimal.op_Explicit(System.Decimal)~System.Double;System;Decimal;op_Explicit;46863
M:System.Decimal.Equals(System.Decimal);System;Decimal;Equals;46863
M:System.Decimal.op_Explicit(System.Decimal)~System.UInt32;System;Decimal;op_Explicit;46863
M:System.Decimal.TryParse(System.String,System.Globalization.NumberStyles,System.IFormatProvider,System.Decimal@);System;Decimal;TryParse;46863
M:System.Decimal.System#IComparable#CompareTo(System.Object);System;Decimal;System.IComparable.CompareTo;46863
M:System.Decimal.ToSByte(System.Decimal);System;Decimal;ToSByte;46863
M:System.Decimal.ToInt16(System.Decimal);System;Decimal;ToInt16;46863
M:System.Decimal.Floor(System.Decimal);System;Decimal;Floor;46863
M:System.Decimal.op_Increment(System.Decimal);System;Decimal;op_Increment;46863
M:System.Decimal.op_Multiply(System.Decimal,System.Decimal);System;Decimal;op_Multiply;46863
M:System.Decimal.op_Explicit(System.Decimal)~System.SByte;System;Decimal;op_Explicit;46863
M:System.Decimal.Parse(System.String,System.IFormatProvider);System;Decimal;Parse;46863
F:System.Decimal.MinValue;System;Decimal;MinValue;46863
